Place,City,Overall,,Food,Value for Money,Service,Ambiance,Vegan Options,Category,Cuisine,Note
Tandoori Slice,Seattle,7.45,,7.3,7,8,7,10,Food,Pizza,"Very interesting. I wish they would have upped the flavor and the spice. OR like had some mint chutney to dip my slice in. Either way, solid pizza but nothing incredible"
Kanyakumari,New York,7.42,,7.6,3,8,8,5,Food,Indian,Good not great.  The fried idli was wayyy to oily. The Bisibele Bath was decent but kinda fades agains my mothers. Lowkey both dishes could have used some salt? Disappointing 
Pakwan,San Francisco,7.39,,7.7,6,2,2,6,Food,Indian,The food surprised me. The place is raggedy but i guess the best indian food in SF so far haha
Where the Pancakes are,London,7.38,,7.5,9,6,6,6,Food,Brunch,"Got a breakfast sampler with avocados, veggies etc. Pleased with the quality and healthinbess"
The Mill,San Francisco,7.38,,7.5,7,6,7,6,Drink,Cafe,"I liked the first few sips of the cappuccino but it seemed to become hella watery after that. $6 for the capp, not tooooo bad"
Kings Co Imperial,New York,7.35,,7.5,6,7,8,5,Food,Chinese,Decent options and they were all very good! I'd go back
Chisme Cantina,San Francisco,7.35,,7.5,7,7,5,6,Food,Mexican,Solid Taco! The sauces were good and the content were filling. I did take to go though so it was kinda cold. Might get a bump if i ate in
Inle Burmese,San Francisco,7.34,,7.4,6,7,4,8,Food,Burmese,Pretty average burmese place (especially compared to the quality i'm used to in this burmese city). No need to go back imo
Nippon Curry,San Francisco,7.27,,7.7,7,4,5,2,Food,Japanese,"I feel like this is kinda unfair, I'm not the biggest fan of japanese curry but this is one of the better ones i've had. Like I'd much rather go to one of my 8 rated restaurants than this but I feel that the food here deserves an 8"
Aaha Cuisine,San Francisco,7.22,,7.5,4,7,3.5,5,Food,Indian,"The dosa was sadly not that great. May try something else again. If i was TRULY craving dosa in SF, i'd come again but I'd like to find better options. There are better options here for sure"
Sestina,New York,7.17,,7,6,8,7,10,Food,Italian,
Marugame Udon,San Francisco,7.17,,7.5,8,5,5,3,Food,Japanese,Interesting concept for a restaurant. Overall good experience with the serving and options available
Planta,Atlanta,7.16,,7,3,6,9,10,Food,American,Few items were worth getting again
Olive Bistro,Atlanta,7.13,,7,6,7,6,10,Food,Mediterranean,
Willow,New York,7.13,,7,4,5,8,10,Food,American,
Blossom,New York,7.12,,7,3,5,8,10,Food,American,
Chi Chi Vegan,Atlanta,7.11,,7,7,6,5,10,Food,Taco,Above average tacos. One of the better ones in ATL
Butchers Daughter,New York,7.10,,7,4,7,8,9,Food,Brunch,Nearly all vegan place with good brunch food
Mr. Charlies,San Francisco,7.08,,7,8,6,3,10,Food,Burger,Solid burger. Its not great quality but the taste is great :)
May Kaidee,New York,7.07,,7,6,7,3,10,Food,Thai,Got the fried rice with duck. Tasted above average but not amazing as i was hoping/expecting
Cafe Kulture,Atlanta,7.04,,7,6,5,3,10,Food,American,Fully plant based restaurant. Food was really well made but the spices could have been doubled
Taco Boys,San Francisco,7.03,,7.2,6,6,4,6,Food,Mexican,A little more flavor and I think this would have been bumped into the great category. Even the salsa couldn't redeem it
Recess,Atlanta,7.03,,7,8,8,5,8,Food,Bowl,Tofu was solid and the veggies tasted fresh. Solid bowl overall
Funky Elephant,San Francisco,7.00,,7.3,6,6,6,3,Food,American,Random assortment of food. Got some homeland curry. Pretty good!
Casa Almenara,Atlanta,6.96,,7,5,8,8,6,Food,Tulum,"The chips and salsa were 10/10, burrito was ok without eggs lol"
La Mei Zi,Atlanta,6.91,,7,8,8,7,5,Food,Chinese,Food Sharing brings down the price
John's off 12th,New York,6.88,,6.8,4,7,6,9,Food,Italian,"The alfredo was really disappointing, ruined the good taste of the ravioli. Maybe if I had gotten the marinara this dish would have been more of a 8"
Venchi,New York,6.87,,7,6,8,6,5,Dessert,Ice Cream,
Hinodeya,San Francisco,6.87,,7,8,7,8,4,Food,Japanese,This rating might be unfair because I didn't order enough spice. I'll re-rate it once I go back
Arepa Mia,Atlanta,6.82,,7,6,6,5,5,Food,Venezuelan,The empanadas were solid but the cilantro sauce carried. Wish they would have included some hot sauce or salt
Heist,San Francisco,6.82,,6.9,5,6,7,6,Food,Brunch,The texture of the food was good but it was flat. pretty basic food unfortunately. Not worth going back especially for the price
Terms of Endearment,New York,6.81,,7,4,7,5,5,Food,Bakery,
Maru Sushi,San Francisco,6.81,,7,5,7,7,4,Food,Japanese,Had a few vegan or sub vegan options. Above average for sure but not overwhelmingly so
Touch,Atlanta,6.78,,7,5,4,7,4,Food,Indian,
Mercury Cafe,San Francisco,6.76,,7,8,9,5,3,Food,American,A lot better than I was expecting to be honest. Spiced and salted well with solid flavor. The bread and croutons weren't as great though
The Little Chihuahua,San Francisco,6.76,,7,7,5,5,4,Food,Mexican,"Solid burrito, it could use some spice but after that nothing to really complain about"
Gusto Pinso Romana,San Francisco,6.76,,7,4,5,4,5,Food,Pizza,Solid pizza but small portions
Mel's Kitchen,San Francisco,6.74,,7.1,7,7,4,2,Food,American,Lacking salt and spice but it seems to have potential. Good quick sourdough chili bowl. Good place to bring friends to and join in a brunch
Papalote,San Francisco,6.74,,6.8,7,6,4,7,Food,Mexican,The chips and salsa slap. The rice and beans are p mids but overall decent food lol
Sightglass Coffee,San Francisco,6.73,,6.5,8,5,8,10,Drink,Cafe,Espresso is one of the better ones i've had but the milk in the lattee was a little sour for some reason
Mamak Vegan,Atlanta,6.69,,6.5,6,7,6,10,Food,Thai,
Salt and Straw,San Francisco,6.67,,7,6,5,4,3,Dessert,Ice Cream,"The taste was great, easily worth a 8-9 but the salt was very overdone. hopefully it was just that batch"
Screamers,New York,6.65,,6.5,8,6,4,10,Food,Pizza,Only the screamer was really super good otherwise the rest of the menu was subpar
Momonoki,Atlanta,6.63,,7,5,5,5,2,Food,Japanese,Above average ramen. My experience was dulled by the quantity of numbing peppers. Like why do these places put 2 pounds in each dish
Mali Restaurant,Atlanta,6.58,,6.5,6,7,4,9,Food,Thai,The curry was very dusty. The flavor was good but I couldn't get over the dust
Muchacho,Atlanta,6.44,,6.5,5,7,8,5,Food,American,Burrito was alright but the cheese was solid (unmelted):(
Little Delhi,San Francisco,6.43,,6.5,5,9,4,6,Food,Indian,The neighborhood is very shady which leads to an unwelcoming interior. The staff was incredibly sweet tho. 
Cha Ya,San Francisco,6.42,,6.2,5,8,6,10,Food,Asian,Tempura was really good but the soba noodles and the broth were alright. I'd come here again if I was in the area I guess lol
Kasa Indian,San Francisco,6.35,,6.5,5,5,5,5,Food,Indian,Decent indian food but still mid overall :(
Ponko's Chicken,Atlanta,6.28,,6.5,4,5,5,4,Food,American,
Beyond Sushi,New York,6.28,,6,7,8,7,10,Food,Sushi,App wasnt that good honestly but the sushi was above average
HJ Farm Mart,Atlanta,6.27,,6,8,8,6,10,Food,Korean,I need to get the steak but the bowl thing i had was alright
Planta,Chicago,6.26,,6,3,6,9,10,Food,American,
Study Social,San Francisco,6.21,,6,6,7,5,10,Drink,Cafe,The vibes were great if you were'nt trying to get anything done smh. Coffee is aight. FInd better places
The Creamy Spot,Atlanta,6.21,,6,7,8,4,10,Dessert,Ice Cream,Overhyped icecream
Vietvana,Atlanta,6.19,,6,5,6,5,10,Food,Pho,
Burlap Coffee,Oakland,6.19,,6,5,6,5,10,Drink,Cafe,No comments. Okay coffee
Souvlaki,San Francisco,6.19,,6.5,6,5,5,2,Food,Mediterranean,"Pita sandwhich was alright, would go here again in a pinch but not out of my way fs"
CyBelle's Front Room,San Francisco,6.19,,6,3,6,6,10,Food,American,None of the savories are reallyyyyyy good. They're mid. Its like they're stuck in the 2000's with their vegan subs. Like get an upgrade pls.
Hippie Hibachi,Atlanta,6.18,,6,5,5,5,10,Food,American,little above mid food
Plant Based Pizzeria,Atlanta,6.15,,6,4,7,3,10,Food,Pizza,
Curry Up Now,Atlanta,6.10,,6.5,5,5,4,1,Food,Indian,Food is aight
Eat Americana,San Francisco,6.10,,6.5,6,4,4,1,Food,American,Alright Restaurant in the middle of an alright neighborhood. Alright/10
Creperie Cafe,Monterey,6.03,,6.2,5,4,6,4,Food,Breakfast,Lots of crepes. The were filling and decent but nothing great haha.
E Ramen,Atlanta,5.99,,6,6,8,7,5,Food,Japanese,
Kaiyo,San Francisco,5.98,,6,3,8,8,5,Food,Japanese,Kinda mids for the vibes of the place. Its definetly meant to be a fancy place given the portion sizes and the price but the wrap thing i got and the appetiezer were so bad lol
Spice of America,San Francisco,5.97,,6,5,4,6,6,Food,Indian,"Keeps up the trend of shitty SF indian restaurants. It was WILD, there was nobody inside, i had to go to the back to get someones attention - food took 40 minutes to come out just to be incredibly mid"
Food Terminal,Atlanta,5.96,,6,9,4,6,5,Food,Asian,Tofu was weeeeak the noodles were pretty good
Chai Pani,Atlanta,5.96,,6,4,4,6,6,Food,Indian,Overhyped. I hear the sit down order menu is good but the buffet I experienced was mid
Little Rey's,Atlanta,5.94,,6,7,7,5,5,Food,Taco,Two Vegan tacos and they're pretty good. Go to velvet instead
Bartaco,Atlanta,5.89,,6,4,5,5,5,Food,American,
Cafe Lucia,Atlanta,5.78,,5.5,5,7,6,10,Drink,Cafe,Most of their flavors are pretty mid tbh
Emerald City Bagels,Atlanta,5.62,,6,3,2,5,1,Food,Bagel,Very unhappy with the size of the bagel and the taste of the cream cheese as well
